Sample index : 0  , SEN.0  ,  SEN.01  ,  SEN.02  ,  SEN.03  ,  SEN.04  ,  SEN.05 
Sample index : 16  ,  26.00  ,  28.00  ,  55.00  ,  10.00  ,  10.00  ,  0.00  
Sample index : 17  ,  27.00  ,  28.00  ,  53.00  ,  9.00  ,  10.00  ,  0.00  
Sample index : 18  ,  25.00  ,  30.00  ,  53.00  ,  10.00  ,  11.00  ,  0.00  
Sample index : 19  ,  24.00  ,  29.00  ,  54.00  ,  10.00  ,  11.00  ,  0.00  
Sample index : 20  ,  22.00  ,  29.00  ,  52.00  ,  10.00  ,  11.00  ,  0.00  
Sample index : 21  ,  22.00  ,  29.00  ,  52.00  ,  9.00  ,  11.00  ,  0.00  
Sample index : 22  ,  22.00  ,  30.00  ,  52.00  ,  10.00  ,  11.00  ,  0.00  
Sample index : 23  ,  23.00  ,  28.00  ,  51.00  ,  9.00  ,  11.00  ,  0.00  
Sample index : 24  ,  23.00  ,  26.00  ,  49.00  ,  9.00  ,  12.00  ,  0.00  
Sample index : 25  ,  23.00  ,  26.00  ,  50.00  ,  9.00  ,  11.00  ,  0.00  
Sample index : 26  ,  23.00  ,  25.00  ,  50.00  ,  9.00  ,  11.00  ,  0.00  
Sample index : 27  ,  22.00  ,  24.00  ,  50.00  ,  9.00  ,  10.00  ,  0.00  
Sample index : 28  ,  21.00  ,  23.00  ,  52.00  ,  8.00  ,  10.00  ,  0.00  
Sample index : 29  ,  22.00  ,  22.00  ,  50.00  ,  9.00  ,  10.00  ,  0.00  
Sample index : 30  ,  21.00  ,  23.00  ,  49.00  ,  9.00  ,  9.00  ,  0.00  
Sample index : 31  ,  20.00  ,  24.00  ,  51.00  ,  8.00  ,  10.00  ,  0.00  
Sample index : 32  ,  20.00  ,  23.00  ,  51.00  ,  8.00  ,  9.00  ,  0.00  
Sample index : 33  ,  20.00  ,  24.00  ,  50.00  ,  8.00  ,  8.00  ,  0.00  
Sample index : 34  ,  19.00  ,  25.00  ,  49.00  ,  8.00  ,  9.00  ,  0.00  
Sample index : 35  ,  19.00  ,  26.00  ,  48.00  ,  8.00  ,  10.00  ,  0.00  
Sample index : 36  ,  18.00  ,  24.00  ,  50.00  ,  7.00  ,  9.00  ,  0.00  
Sample index : 37  ,  17.00  ,  25.00  ,  47.00  ,  7.00  ,  9.00  ,  0.00  
Sample index : 38  ,  19.00  ,  24.00  ,  47.00  ,  8.00  ,  10.00  ,  0.00  
Sample index : 39  ,  18.00  ,  22.00  ,  48.00  ,  8.00  ,  9.00  ,  0.00  
Sample index : 40  ,  19.00  ,  22.00  ,  47.00  ,  8.00  ,  9.00  ,  0.00  
Sample index : 41  ,  18.00  ,  21.00  ,  46.00  ,  7.00  ,  11.00  ,  0.00  
Sample index : 42  ,  17.00  ,  21.00  ,  45.00  ,  7.00  ,  11.00  ,  0.00  
Sample index : 43  ,  17.00  ,  21.00  ,  45.00  ,  8.00  ,  9.00  ,  0.00  
Sample index : 44  ,  16.00  ,  19.00  ,  46.00  ,  8.00  ,  10.00  ,  0.00  
Sample index : 45  ,  17.00  ,  19.00  ,  44.00  ,  8.00  ,  11.00  ,  0.00  
Sample index : 46  ,  18.00  ,  21.00  ,  44.00  ,  8.00  ,  10.00  ,  0.00  
Sample index : 47  ,  17.00  ,  20.00  ,  45.00  ,  8.00  ,  10.00  ,  0.00  
Sample index : 48  ,  14.00  ,  21.00  ,  45.00  ,  8.00  ,  11.00  ,  0.00  
Sample index : 49  ,  17.00  ,  22.00  ,  46.00  ,  8.00  ,  10.00  ,  0.00  
Sample index : 50  ,  16.00  ,  21.00  ,  45.00  ,  8.00  ,  9.00  ,  0.00  
Sample index : 51  ,  17.00  ,  22.00  ,  45.00  ,  8.00  ,  10.00  ,  0.00  
Sample index : 52  ,  16.00  ,  21.00  ,  46.00  ,  8.00  ,  9.00  ,  0.00  
Sample index : 53  ,  15.00  ,  21.00  ,  44.00  ,  8.00  ,  9.00  ,  0.00  
Sample index : 54  ,  16.00  ,  22.00  ,  43.00  ,  8.00  ,  9.00  ,  0.00  
Sample index : 55  ,  16.00  ,  18.00  ,  44.00  ,  8.00  ,  8.00  ,  0.00  
Sample index : 56  ,  16.00  ,  19.00  ,  43.00  ,  9.00  ,  8.00  ,  0.00  
Sample index : 57  ,  16.00  ,  20.00  ,  43.00  ,  8.00  ,  8.00  ,  0.00  
Sample index : 58  ,  16.00  ,  20.00  ,  42.00  ,  8.00  ,  9.00  ,  0.00  
