
Sample index : 0  | SEN.0  |  SEN.01  |  SEN.02  |  SEN.03  |  SEN.04  |  SEN.05 |
 Sample index : 17  |  87.00  |  71.00  |  77.00  |  59.00  |  58.00  |  0.00  |  
 Sample index : 18  |  84.00  |  71.00  |  77.00  |  60.00  |  58.00  |  0.00  |  
 Sample index : 19  |  83.00  |  68.00  |  77.00  |  58.00  |  59.00  |  0.00  |  
 Sample index : 20  |  83.00  |  66.00  |  79.00  |  57.00  |  59.00  |  0.00  |  
 Sample index : 21  |  81.00  |  65.00  |  76.00  |  57.00  |  57.00  |  0.00  |  
 Sample index : 22  |  82.00  |  64.00  |  75.00  |  57.00  |  58.00  |  0.00  |  
 Sample index : 23  |  81.00  |  62.00  |  75.00  |  57.00  |  56.00  |  0.00  |  
 Sample index : 24  |  83.00  |  62.00  |  73.00  |  56.00  |  56.00  |  0.00  |  
 Sample index : 25  |  83.00  |  63.00  |  73.00  |  56.00  |  56.00  |  0.00  |  
 Sample index : 26  |  83.00  |  64.00  |  73.00  |  55.00  |  56.00  |  0.00  |  
 Sample index : 27  |  83.00  |  64.00  |  75.00  |  56.00  |  57.00  |  0.00  |  
 Sample index : 28  |  83.00  |  65.00  |  74.00  |  54.00  |  55.00  |  0.00  |  
 Sample index : 29  |  82.00  |  66.00  |  72.00  |  55.00  |  55.00  |  0.00  |  
 Sample index : 30  |  80.00  |  67.00  |  71.00  |  55.00  |  55.00  |  0.00  |  
 Sample index : 31  |  79.00  |  67.00  |  70.00  |  54.00  |  53.00  |  0.00  |  
 Sample index : 32  |  79.00  |  65.00  |  69.00  |  54.00  |  52.00  |  0.00  |  
 Sample index : 33  |  80.00  |  63.00  |  70.00  |  53.00  |  55.00  |  0.00  |  
 Sample index : 34  |  80.00  |  62.00  |  71.00  |  52.00  |  54.00  |  0.00  |  
 Sample index : 35  |  79.00  |  60.00  |  72.00  |  51.00  |  52.00  |  0.00  |  
 Sample index : 36  |  77.00  |  58.00  |  73.00  |  51.00  |  54.00  |  0.00  |  
 Sample index : 37  |  78.00  |  59.00  |  71.00  |  51.00  |  53.00  |  0.00  |  
 Sample index : 38  |  77.00  |  57.00  |  71.00  |  51.00  |  51.00  |  0.00  |  
 Sample index : 39  |  77.00  |  57.00  |  68.00  |  52.00  |  52.00  |  0.00  |  
 Sample index : 40  |  78.00  |  58.00  |  67.00  |  51.00  |  53.00  |  0.00  |  
 Sample index : 41  |  77.00  |  58.00  |  67.00  |  49.00  |  52.00  |  0.00  |  
 Sample index : 42  |  77.00  |  59.00  |  65.00  |  50.00  |  52.00  |  0.00  |  
 Sample index : 43  |  75.00  |  60.00  |  66.00  |  49.00  |  52.00  |  0.00  |  
 Sample index : 44  |  75.00  |  56.00  |  67.00  |  49.00  |  51.00  |  0.00  |  
 Sample index : 45  |  76.00  |  57.00  |  66.00  |  49.00  |  51.00  |  0.00  |  
 Sample index : 46  |  76.00  |  57.00  |  67.00  |  48.00  |  51.00  |  0.00  |  
 Sample index : 47  |  75.00  |  56.00  |  65.00  |  49.00  |  50.00  |  0.00  |  
 Sample index : 48  |  74.00  |  56.00  |  63.00  |  48.00  |  50.00  |  0.00  |  
 Sample index : 49  |  75.00  |  55.00  |  64.00  |  48.00  |  50.00  |  0.00  |  
 Sample index : 50  |  74.00  |  55.00  |  63.00  |  46.00  |  50.00  |  0.00  |  
 Sample index : 51  |  74.00  |  54.00  |  65.00  |  46.00  |  49.00  |  0.00  |  
 Sample index : 52  |  73.00  |  53.00  |  64.00  |  47.00  |  50.00  |  0.00  |  
 Sample index : 53  |  71.00  |  54.00  |  64.00  |  47.00  |  49.00  |  0.00  |  
 Sample index : 54  |  72.00  |  54.00  |  63.00  |  46.00  |  48.00  |  0.00  |  
 Sample index : 55  |  73.00  |  54.00  |  62.00  |  45.00  |  48.00  |  0.00  |  
 Sample index : 56  |  71.00  |  54.00  |  60.00  |  45.00  |  49.00  |  0.00  |  
 Sample index : 57  |  71.00  |  54.00  |  60.00  |  45.00  |  47.00  |  0.00  |  
 Sample index : 58  |  71.00  |  52.00  |  61.00  |  45.00  |  48.00  |  0.00  |  
 Sample index : 59  |  70.00  |  51.00  |  60.00  |  44.00  |  48.00  |  0.00  |  
